Service,Discovery URL
customsearch,https://customsearch.googleapis.com/$discovery/rest?version=v1
datacatalog,https://datacatalog.googleapis.com/$discovery/rest?version=v1beta1
datacatalog,https://datacatalog.googleapis.com/$discovery/rest?version=v1
dataflow,https://dataflow.googleapis.com/$discovery/rest?version=v1b3
dataform,https://dataform.googleapis.com/$discovery/rest?version=v1beta1
datafusion,https://datafusion.googleapis.com/$discovery/rest?version=v1beta1
datafusion,https://datafusion.googleapis.com/$discovery/rest?version=v1
datalabeling,https://datalabeling.googleapis.com/$discovery/rest?version=v1beta1
datalineage,https://datalineage.googleapis.com/$discovery/rest?version=v1
datamigration,https://datamigration.googleapis.com/$discovery/rest?version=v1beta1
datamigration,https://datamigration.googleapis.com/$discovery/rest?version=v1
datapipelines,https://datapipelines.googleapis.com/$discovery/rest?version=v1
dataplex,https://dataplex.googleapis.com/$discovery/rest?version=v1
dataportability,https://dataportability.googleapis.com/$discovery/rest?version=v1beta
dataportability,https://dataportability.googleapis.com/$discovery/rest?version=v1
dataproc,https://dataproc.googleapis.com/$discovery/rest?version=v1
datastore,https://datastore.googleapis.com/$discovery/rest?version=v1beta1
datastore,https://datastore.googleapis.com/$discovery/rest?version=v1beta3
datastore,https://datastore.googleapis.com/$discovery/rest?version=v1
datastream,https://datastream.googleapis.com/$discovery/rest?version=v1alpha1
datastream,https://datastream.googleapis.com/$discovery/rest?version=v1
deploymentmanager,https://deploymentmanager.googleapis.com/$discovery/rest?version=alpha
deploymentmanager,https://deploymentmanager.googleapis.com/$discovery/rest?version=v2beta
deploymentmanager,https://deploymentmanager.googleapis.com/$discovery/rest?version=v2
developerconnect,https://developerconnect.googleapis.com/$discovery/rest?version=v1
dfareporting,https://dfareporting.googleapis.com/$discovery/rest?version=v3.5
dfareporting,https://dfareporting.googleapis.com/$discovery/rest?version=v4
dialogflow,https://dialogflow.googleapis.com/$discovery/rest?version=v2beta1
dialogflow,https://dialogflow.googleapis.com/$discovery/rest?version=v3beta1
dialogflow,https://dialogflow.googleapis.com/$discovery/rest?version=v2
dialogflow,https://dialogflow.googleapis.com/$discovery/rest?version=v3
digitalassetlinks,https://digitalassetlinks.googleapis.com/$discovery/rest?version=v1
discovery,https://discovery.googleapis.com/$discovery/rest?version=v1
discoveryengine,https://discoveryengine.googleapis.com/$discovery/rest?version=v1alpha
discoveryengine,https://discoveryengine.googleapis.com/$discovery/rest?version=v1beta
discoveryengine,https://discoveryengine.googleapis.com/$discovery/rest?version=v1
displayvideo,https://displayvideo.googleapis.com/$discovery/rest?version=v2
displayvideo,https://displayvideo.googleapis.com/$discovery/rest?version=v3
dlp,https://dlp.googleapis.com/$discovery/rest?version=v2
dns,https://dns.googleapis.com/$discovery/rest?version=v1beta2
dns,https://dns.googleapis.com/$discovery/rest?version=v1
docs,https://docs.googleapis.com/$discovery/rest?version=v1
documentai,https://documentai.googleapis.com/$discovery/rest?version=v1beta3
documentai,https://documentai.googleapis.com/$discovery/rest?version=v1
domains,https://domains.googleapis.com/$discovery/rest?version=v1alpha2
domains,https://domains.googleapis.com/$discovery/rest?version=v1beta1
